iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 06, 2024"
Inception Date,"May 15, 2000"
Shares Outstanding,"957,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"DHR","DANAHER CORP","Health Care","Equity","1,670,565,344.80","0.29","1,670,565,344.80","7,259,540.00","230.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","1,669,171,797.78","0.29","1,669,171,797.78","4,496,449.00","371.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","1,664,935,027.14","0.29","1,664,935,027.14","7,354,603.00","226.38","United States","NASDAQ","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","1,654,223,418.54","0.28","1,654,223,418.54","6,068,763.00","272.58","United States","NASDAQ","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","1,646,763,277.86","0.28","1,646,763,277.86","64,001,682.00","25.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","1,639,933,932.40","0.28","1,639,933,932.40","1,572,520.00","1,042.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","1,617,994,626.78","0.28","1,617,994,626.78","9,351,489.00","173.02","United States","NASDAQ","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","1,609,460,800.29","0.28","1,609,460,800.29","12,764,381.00","126.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","1,607,040,546.66","0.28","1,607,040,546.66","6,880,338.00","233.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","1,568,230,642.17","0.27","1,568,230,642.17","23,728,713.00","66.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","1,554,643,755.60","0.27","1,554,643,755.60","21,547,384.00","72.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","1,520,837,153.00","0.26","1,520,837,153.00","8,132,819.00","187.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","1,520,109,172.92","0.26","1,520,109,172.92","14,726,886.00","103.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","1,498,066,757.50","0.26","1,498,066,757.50","16,632,250.00","90.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","1,490,926,806.72","0.26","1,490,926,806.72","3,872,336.00","385.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
